City,Min 1,Max 1,Min 2,Max 2,Min 3,Max 3,Min 4,Max 4,Min 5,Max 5,Min Avg,Max Avg
"Anchorage, USA",9.29,11.84,9.41,13.30,8.79,12.34,8.36,11.75,8.25,9.45,8.82,11.74
"Chennai, India",27.21,32.48,27.83,33.92,27.75,34.22,28.17,34.40,28.21,31.95,27.83,33.39
"Jiangbei, China",23.36,32.01,24.60,32.95,24.85,32.75,24.90,35.23,25.08,33.80,24.56,33.35
"Kathmandu, Nepal",18.75,23.58,19.20,24.46,19.18,24.90,18.62,25.82,18.46,25.93,18.84,24.94
"Kothagudem, India",22.78,28.52,23.58,29.83,23.70,30.16,24.03,30.07,23.94,25.78,23.61,28.87
"Lima, Peru",15.08,17.97,15.11,18.86,15.64,18.81,15.56,18.72,15.63,18.16,15.40,18.50
"Manhasset, USA",21.84,27.56,21.07,24.51,18.15,24.89,18.18,25.83,20.77,25.15,20.00,25.59
"Mexico City, Mexico",14.23,21.69,13.00,23.04,12.35,21.91,12.02,21.43,13.74,15.32,13.07,20.68
"Nanaimo, Canada",15.84,19.26,13.56,19.05,13.03,18.52,13.57,17.09,12.35,13.24,13.67,17.43
"Peterhead, Scotland",11.54,15.56,12.14,13.60,12.43,14.76,11.34,12.83,9.21,13.52,11.33,14.05
"Polevskoy, Russia",1.77,10.90,6.78,10.30,3.64,9.08,1.96,4.44,1.55,9.68,3.14,8.88
"Round Rock, USA",23.39,34.58,23.92,35.39,22.67,35.00,22.29,34.06,23.15,27.20,23.08,33.25
"Seoul, South Korea",18.91,27.93,19.02,29.70,21.95,28.05,20.60,29.59,20.86,31.85,20.27,29.42
"Solihull, England",16.85,27.16,17.18,22.88,15.97,21.40,12.28,19.31,9.73,17.77,14.40,21.70
"Tel Aviv, Israel",24.56,29.28,25.27,30.31,26.19,28.67,25.91,28.21,26.11,28.15,25.61,28.92
