GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,ESTAB,ESTAB_S,EMP,EMP_S,PAYANN,PAYANN_S,BENEFIT,BENEFIT_S,BENLGL,BENVOL,EMPSMCD,EMPSMCD_S,EMPQ1CW,EMPQ2CW,EMPQ3CW,EMPQ4CW,EMPSMOD,EMPSMOD_S,EMPQ1OC,EMPQ2OC,EMPQ3OC,EMPQ4OC,PAYANOC,PAYANOC_S,HOURS,HOURS_S,PAYANCW,PAYANCW_S,PAYQTR1,PAYQTR1_S,CSTCMT,CSTMPRT,CSTMPRT_S,CSTSCNT,CSTSCNT_S,CSTEFT,CSTEFT_S,CSTFUGT,CSTFUNG,CSTFUON,CSTFUOF,CSTFUOT,CSTELEC,CSTELEC_S,RCPTOT,RCPTOT_S,RCPCWRK,RCPCWRK_S,RCPCGDL,FEDDL,SLDL,PRIDL,RCPOTH,RCPOTH_S,RCPCCNDL,RCPNCW,RCPNCW_S,VALADD,VALADD_S,INVMATB,INVMATB_S,INVMATE,INVMATE_S,ESTCIN,ESTCIN_S,RCPCIN,RCPCIN_S,ESTCNO,ESTCNO_S,RCPCNO,RCPCNO_S,ESTCNR,ESTCNR_S,RCPCNR,RCPCNR_S,ASTBGN,CEXTOT,CEXTOT_S,ASRET,ASTEND,ASTEND_S,DPRTOT,RPTOT,RPBLD,RPBLD_S,RPMCH,RPMCH_S,PCHTT,PCHTT_S,PCHTEMP,PCHCMPQ,PCHEXSO,PCHDAPR,PCHCSVC,PCHRPR,PCHRFUS,PCHADVT,PCHPRTE,PCHTAX,PCHOEXP
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of establishments,Relative standard error for estimate of number of establishments (%) ,Number of employees,Relative standard error for estimate of number of employees (%),"Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),"Total fringe benefits ($1,000)",Relative standard error for estimate of total fringe benefits (%),Employers cost for legally required fringe benefits ($1000) ,"Employers cost for voluntarily provided fringe benefits ($1,000)",Construction workers average for year ,Relative standard error for estimate of construction workers average for year (%),Construction workers for pay period including March 12 ,Construction workers for pay period including June 12 ,Construction workers for pay period including September 12 ,Construction workers for pay period including December 12 ,Other employees average for year ,Relative standard error for estimate of other employees average for year (%),Other employees for pay period including March 12,Other employees for pay period including June 12 ,Other employees for pay period including September 12,Other employees for pay period including December 12 ,"Other employees annual wages ($1,000) ",Relative standard error for estimate of other employees annual wages  (%),"Construction workers annual hours (1,000)",Relative standard error for estimate of construction workers annual hours (%),"Construction workers annual wages ($1,000)",Relative standard error for estimate of  Construction workers annual wages (%),"First-quarter payroll ($1,000)",Relative standard error for estimate of first-quarter payroll  (%),"Total selected costs ($1,000) ","Cost of materials, components, and supplies ($1,000) ","Relative standard error for estimate of cost of materials, components, and supplies  (%)","Cost of construction work subcontracted out to others ($1,000)",Relative standard error for estimate of cost of construction work subcontracted out to others (%),"Total cost of selected power, fuels, and lubricants ($1,000) ","Relative standard error for estimate of total cost of selected power, fuels, and lubricants (%)","Cost of gasoline and diesel fuel ($1,000) ","Cost of natural gas and manufactured gas ($1,000) ","Cost of on-highway use of gasoline and diesel fuel ($1,000) ","Cost of off-highway use of gasoline and diesel fuel ($1,000) ","Cost of all other fuels and lubricants ($1,000) ","Cost of purchased electricity ($1,000) ",Relative standard error for estimate of cost of purchased electricity (%),"Total value of business done ($1,000)",Relative standard error for estimate of total value of business done (%),"Value of construction work ($1,000)",Relative standard error for estimate of value of construction work (%),"Value of construction work on government owned projects ($1,000)","Value of construction work on federally owned projects ($1,000)","Value of construction work on state and locally owned projects ($1,000)","Value of construction work on privately owned projects ($1,000)","Value of other business done ($1,000) ",Relative standard error for estimate of other business done (%),"Value of construction work subcontracted in from others ($1,000)","Net value of construction work ($1,000)",Relative standard error for estimate of net value of construction work (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Materials and supplies inventories, beginning of year ($1,000) ","Relative standard error for estimate of materials and supplies inventories, beginning of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error for estimate of materials and supplies inventories, end of year (%)",Number of establishments with inventories,Relative standard error for estimate of number of establishments with inventories (%),"Value of construction work for establishments with inventories ($1,000)",Relative standard error for estimate of number of value of construction work for establishments with inventories (%),Number of establishments with no inventories,Relative standard error for estimate of number of establishments with no inventories (%),"Value of construction work for establishments with no inventories ($1,000)",Relative standard error for estimate of construction work for establishments with no inventories (%),Number of establishments not reporting inventories,Relative standard error for estimate of number of establishments not reporting inventories (%),"Value of construction work for establishments not reporting inventories ($1,000)",Relative standard error for estimate of value of construction work for establishments not reporting inventories (%),"Gross value of depreciable assets (acquisition costs), beginning of year ($1,000) ","Total capital expenditures ($1,000) ",Relative standard error for estimate of total capital expenditures (%),"Total retirements ($1,000) ","Gross value of depreciable assets (acquisition costs), end of year ($1,000)","Relative standard error for estimate of gross value of depreciable assets (asquisition costs), end of year (%)","Total depreciation during year ($1,000) ","Total rental payments or lease payments ($1,000)","Rental payments or lease payments for buildings and other structures ($1,000)",Relative standard error for estimate of rental or lease payments for buildings and other structures (%),"Rental payments or lease payments for machinery and equipment rentals ($1,000)",Relative standard error for estimate of rental or lease payments for machinery and equipment (%),"Total other operating expenses ($1,000)",Relative standard error for estimate of total other operating expenses (%),"Temporary staff and leased employee expenses ($1,000)","Expensed computer hardware and other equipment ($1,000)","Expensed purchases of software ($1,000)","Data processing and other purchased computer services ($1,000)","Communication services ($1,000)","Repair and maintenance services of buildings and/or machinery ($1,000)","Refuse removal (including hazardous waste) services ($1,000)","Advertising and promotional services ($1,000)","Purchased professional and technical services ($1,000)","Taxes and license fees ($1,000)","All other operating expenses ($1,000) "
0400000US01,01,Alabama,,236115,New single-family housing construction (except for-sale builders),,2012,322,15.5,1194,10.6,40466,8.8,6374,8.4,4296,2078,840,13.7,758,905,892,805,354,12.3,390,392,318,314,16367,11.5,1584,15.8,24099,12.1,10871,8.8,282931,117505,11.0,160608,15.7,4818,13.8,3890,92,3631,260,65,771,14.7,361491,12.1,358712,12.1,696,0,696,358015,2780,51.3,29125,198104,10.3,78560,11.2,5248,59.2,5683,54.6,76,35.5,64691,19.4,246,17.0,294021,14.2,0,,0,,38962,2560,43.2,669,40854,14.5,7373,2339,1511,27.9,828,32.0,16121,14.7,16,159,121,,940,977,,1569,1819,1852,8253
0400000US01,01,Alabama,,236116,New multifamily housing construction (except for-sale builders),,2012,16,6.1,408,4.7,20586,4.3,3076,4.6,1948,1128,200,5.1,192,198,210,198,208,4.7,204,204,211,215,12797,4.9,419,4.7,7789,4.5,4746,4.1,308906,85180,6.3,222310,4.6,1416,8.4,474,,340,134,,665,10.0,,,357642,4.6,,0,,,,,0,135332,4.8,,,563,5.7,654,4.2,4,30.2,,,10,5.0,263894,0.7,2,0.0,,,20680,457,33.3,307,20830,4.3,1904,4413,676,6.8,3737,5.7,8410,4.2,325,101,13,,235,42,,83,1575,971,4216
0400000US01,01,Alabama,,236117,New housing for-sale builders,,2012,227,19.8,1329,6.8,59849,4.3,10336,5.9,5994,4343,603,10.8,581,565,662,605,726,7.8,701,703,771,731,36087,5.5,1144,12.0,23762,6.6,13249,4.3,852814,292582,7.9,555164,4.0,5068,10.8,2535,219,1995,540,99,2214,6.5,1172001,6.1,1140826,6.2,0,0,0,1140826,31175,7.3,30698,585661,8.7,319186,9.8,210309,7.9,253846,2.4,76,33.3,643416,3.6,142,25.4,496013,13.5,10,94.7,1397,94.7,317428,8646,7.4,6356,319719,22.3,82546,5141,3746,36.9,1394,30.6,55391,3.8,468,211,462,315,1529,3743,2761,12987,3784,7046,22084
0400000US01,01,Alabama,,236118,Residential remodelers,,2012,510,13.8,1935,8.2,59697,6.8,10659,7.7,6783,3875,1312,10.4,1191,1301,1456,1301,623,8.1,607,638,617,631,24669,8.3,2128,10.3,35028,9.0,13787,7.0,183544,85252,9.0,90791,11.2,7502,12.0,5923,100,5358,565,398,1080,21.6,324740,8.4,321124,8.2,,0,,,3616,65.6,16176,230333,7.8,141196,8.1,3121,22.1,2300,11.8,42,42.8,44029,27.0,440,14.9,256858,9.1,29,63.2,20237,11.8,43891,4762,17.9,3662,44991,9.9,11613,3475,2017,9.8,1459,14.8,29372,18.6,1203,1616,217,128,1828,2001,4762,1501,2110,2089,11916
0400000US01,01,Alabama,,236210,Industrial building construction,,2012,90,21.7,3050,3.7,156672,2.7,33158,3.5,12214,20944,2599,3.0,2731,2590,2588,2489,450,9.9,445,451,454,451,34183,6.0,5420,3.2,122489,2.2,40225,2.5,288224,177128,8.1,105968,9.9,5128,4.9,3737,,3332,405,,1321,6.7,,,624586,4.3,43915,37829,6086,580671,,,78873,518619,4.0,,,2269,0.7,2284,1.1,5,19.0,,,84,23.3,555544,4.8,2,0.0,,,78940,2825,12.5,901,80865,3.8,22135,13586,1380,18.5,12206,2.0,103678,4.1,1357,533,66,1127,2794,7519,246,785,3232,1807,84213
0400000US01,01,Alabama,,236220,Commercial and institutional building construction,,2012,559,11.0,11402,3.9,611892,2.0,104303,2.4,54299,50004,7393,4.2,7665,7780,7435,6690,4009,4.7,4086,4003,3989,3958,294237,2.4,14784,4.2,317655,2.2,140727,2.1,3941558,1131245,3.9,2781894,2.6,28420,6.3,19576,192,13114,6463,825,7827,6.7,5650934,2.4,5625853,2.4,2244757,1239172,1005586,3381096,25080,3.1,157760,2843960,2.8,1709376,2.6,11058,28.9,13340,25.9,110,25.1,851460,4.7,444,12.4,4708246,2.7,6,40.9,66147,3.8,384054,53771,0.9,32780,405045,4.0,56437,41606,15424,5.8,26182,7.2,251950,2.6,4774,6669,3283,3329,8519,8832,4742,17238,25400,14235,154928
0400000US01,01,Alabama,,237110,Water and sewer line and related structures construction,,2012,135,19.5,2071,6.1,86640,5.3,20277,4.2,11362,8914,1600,6.2,1605,1589,1600,1604,472,9.5,485,469,453,480,29616,7.6,3039,5.5,57024,5.7,20095,5.0,217691,140832,5.1,66146,24.1,10713,9.9,9331,74,7211,2120,320,988,9.5,414717,6.9,413315,6.9,212142,18905,193237,201173,1402,7.9,59380,347169,5.4,197026,5.6,10945,45.1,13621,41.9,82,29.6,113751,13.2,44,18.5,215562,11.1,10,64.0,84002,6.0,146540,7877,22.2,1950,152467,8.3,25204,6203,1634,16.2,4568,14.8,30961,9.4,529,576,55,29,1073,3808,349,526,2477,3666,17874
0400000US01,01,Alabama,,237120,Oil and gas pipeline and related structures construction,,2012,40,41.1,1522,3.0,86875,2.9,17065,3.1,10669,6395,1259,2.4,1132,1204,1390,1308,264,7.7,266,266,262,261,25169,3.3,1966,3.0,61705,2.8,19375,2.1,66376,43981,2.3,16816,8.8,5579,8.7,,,,879,120,334,6.8,263216,2.0,263099,2.0,29449,,,233649,117,49.8,1832,246283,1.7,196840,1.5,1677,24.1,1588,23.4,18,88.6,,,19,19.2,178385,2.7,3,0.0,,,83735,10105,4.2,2313,91527,2.7,26730,7536,1189,48.9,6347,2.1,15511,4.1,3,437,79,8,556,1130,53,216,840,1979,10211
0400000US01,01,Alabama,,237130,Power and communication line and related structures construction,,2012,92,21.2,2647,3.3,155480,1.9,36230,1.1,25692,10538,2109,3.8,2263,2077,1980,2116,538,4.8,524,535,541,553,46285,3.0,4303,3.1,109195,2.4,35648,1.6,304741,187342,1.3,108579,1.3,8820,10.6,,,,910,497,,,,,678965,3.2,113610,,,565356,,,49092,570386,3.6,,,,,4333,13.8,34,30.2,73257,8.0,53,30.7,502970,4.1,4,0.0,102738,0.0,178862,28358,3.0,5109,202110,4.0,28548,10897,2388,2.9,8510,1.6,35996,4.5,1097,660,,,936,10777,609,369,1390,5242,14677
